Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
ccba9427-1fa2-489a-b19f-4c92ce317a5f,"2020-06-21, 12:06:36 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,65.95.43.103
cadab1ad-0f46-4c96-b1c8-d6f53f3dc215,"2020-06-21, 12:06:35 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::504716675564:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAXLA3VJHWEAQE76ENM""}]",,us-east-1,,65.95.43.103
1b4edbf1-df20-43b8-8edb-473d1deb4ace,"2020-06-21, 12:05:52 AM",root,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAXLA3VJHWM2DAV6G6""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,65.95.43.103
47d173bb-2800-427c-865f-3fd1ac4477e5,"2020-06-21, 12:05:52 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,65.95.43.103
38797e65-98be-4e44-a374-c87a0fea53fb,"2020-06-21, 12:05:51 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,65.95.43.103
5751ab03-b957-4fdb-9a71-4ac9c86bdbfc,"2020-06-21, 12:05:51 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::504716675564:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAXLA3VJHWMC7XMSDII""}]",,us-east-1,,65.95.43.103
c2c6c81f-00fa-487b-a7ab-2d047e4ae78e,"2020-06-21, 12:05:51 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,65.95.43.103
33890ac2-b778-472f-a2dd-0f4a126f395b,"2020-06-21, 12:03:12 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::504716675564:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAXLA3VJHWDJ6K7HJT7""}]",,us-east-1,,65.95.43.103
fe1fa25c-42ff-4bb8-94b8-24f285ec2e26,"2020-06-21, 12:03:12 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,65.95.43.103
a974913e-18fc-47fa-bbeb-2f3d3a578c6d,"2020-06-21, 12:01:42 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,65.95.43.103
3835b9fd-47c4-4e46-8a25-817e6c3ae4cc,"2020-06-21, 12:01:41 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,65.95.43.103
af368101-4a7a-4b46-b008-c2a4a9fc34f7,"2020-06-21, 12:01:41 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAXLA3VJHWFFVA4OLKM""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::504716675564:group/CloudTrailAdmins""}]",,us-east-1,,65.95.43.103
0f66eb6c-a505-4102-8091-aa0322fdf230,"2020-06-20, 11:58:48 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,65.95.43.103
